Country,Country_Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,2171823937,2344763491,2482690779,2664118206,2882679834,2956105831,2991158994,3201942230,3265724421,3306155456,3558181063,3706984253,3671954976,3712732205,3983528796,3968266396,4013005087,4136988660,4212933643,3720958148,3619247365,3741188393,3702250109,3940359680,3877842913,3853659680,3919928175,4196225621,4296168393,4197234668,3190629466,4072498933,4498413796,
Africa Eastern and Southern,AFE,1.05851E+12,1.05827E+12,1.0342E+12,1.02567E+12,1.04254E+12,1.08939E+12,1.14995E+12,1.19644E+12,1.21929E+12,1.2526E+12,1.29326E+12,1.34056E+12,1.39294E+12,1.43648E+12,1.51932E+12,1.6163E+12,1.72555E+12,1.84404E+12,1.92953E+12,1.94799E+12,2.05289E+12,2.14209E+12,2.20464E+12,2.29888E+12,2.39775E+12,2.47747E+12,2.54278E+12,2.61689E+12,2.69191E+12,2.75575E+12,2.6853E+12,2.80781E+12,2.91129E+12,2.99118E+12
Afghanistan,AFG,,,,,,,,,,,32567375971,29495629515,37931379899,41281584746,41865355064,46566715049,49061481754,55844878996,58036781460,70451155677,80569661677,80913174278,91231454558,96341095376,98965950295,1.00402E+11,1.02672E+11,1.05389E+11,1.06643E+11,1.10814E+11,1.08209E+11,85767546198,80415503801,
Africa Western and Central,AFW,6.88209E+11,6.96191E+11,7.11534E+11,7.03402E+11,7.02878E+11,7.18804E+11,7.5268E+11,7.87002E+11,8.16505E+11,8.3057E+11,8.61006E+11,9.0538E+11,9.8737E+11,1.03999E+12,1.12047E+12,1.1848E+12,1.24764E+12,1.31333E+12,1.39455E+12,1.4776E+12,1.57768E+12,1.65401E+12,1.74187E+12,1.84529E+12,1.95264E+12,2.00854E+12,2.01788E+12,2.06974E+12,2.13232E+12,2.20488E+12,2.18646E+12,2.2744E+12,2.3619E+12,2.44255E+12
Angola,AGO,85939173895,86791139889,81724029491,62123814348,62955878002,72399259721,82205283158,88185123455,92322016744,94336012047,97217622733,1.01307E+11,1.15151E+11,1.18594E+11,1.3158E+11,1.51356E+11,1.68838E+11,1.92492E+11,2.13994E+11,2.15834E+11,2.25327E+11,2.33151E+11,2.53067E+11,2.65605E+11,2.78414E+11,2.81041E+11,2.7379E+11,2.73387E+11,2.69788E+11,2.67894E+11,2.52789E+11,2.55821E+11,2.63611E+11,2.65868E+11
Albania,ALB,17674840987,12725506977,11810910676,12939964251,14014352220,15881390936,17326597422,15434535742,16797316308,18962625370,20279810400,21961678477,22957975328,24227238553,25563290303,26976026176,28568329023,30277646289,32548482304,33640252580,34887275937,35775298803,36282321649,36645876876,37296139218,38123638496,39387429748,40885175647,42528492163,43416364596,41982720618,45722762964,47943243980,49592083815
Andorra,AND,2631777168,2698782307,2723859771,2695763583,2760008542,2836115822,2967987796,3237115196,3340534339,3477465478,3600163061,3892473178,4069439108,4423244434,4783105285,5041287550,5283707374,5365773291,5067479953,4798759268,4703985788,4703606188,4469627945,4311063580,4419032681,4482407814,4648690713,4664778525,4738890917,4834405520,4293728511,4649558371,5094232719,5167802825
Arab World,ARB,2.48253E+12,2.48845E+12,2.63783E+12,2.70596E+12,2.7837E+12,2.85938E+12,2.99617E+12,3.14282E+12,3.31654E+12,3.3966E+12,3.61706E+12,3.68684E+12,3.71185E+12,3.85273E+12,4.19185E+12,4.41107E+12,4.67247E+12,4.88738E+12,5.16693E+12,5.21924E+12,5.46975E+12,5.68875E+12,5.92498E+12,6.0636E+12,6.21627E+12,6.46746E+12,6.72255E+12,6.84329E+12,7.04124E+12,7.1949E+12,6.88223E+12,7.20252E+12,7.62006E+12,7.70868E+12
United Arab Emirates,ARE,2.05116E+11,2.0688E+11,2.138E+11,2.16497E+11,2.31427E+11,2.46904E+11,2.61221E+11,2.82616E+11,2.83441E+11,2.91667E+11,3.23321E+11,3.27844E+11,3.35822E+11,3.65376E+11,4.0033E+11,4.19766E+11,4.6106E+11,4.75742E+11,4.90927E+11,4.65188E+11,4.72644E+11,5.02025E+11,5.11184E+11,5.37027E+11,5.59398E+11,5.97363E+11,6.30585E+11,6.35221E+11,6.43567E+11,6.507E+11,6.18444E+11,6.45376E+11,6.96041E+11,7.19733E+11
Argentina,ARG,5.57228E+11,6.0812E+11,6.56388E+11,7.10258E+11,7.5171E+11,7.30322E+11,7.70685E+11,8.33196E+11,8.65275E+11,8.35982E+11,8.29386E+11,7.9282E+11,7.06446E+11,7.68875E+11,8.38301E+11,9.12504E+11,9.85935E+11,1.07474E+12,1.11835E+12,1.05216E+12,1.1587E+12,1.22826E+12,1.21566E+12,1.2449E+12,1.21362E+12,1.24676E+12,1.22083E+12,1.25523E+12,1.22238E+12,1.19792E+12,1.07932E+12,1.195E+12,1.25423E+12,1.23479E+12
Armenia,ARM,21801542439,19250762305,11203943133,10217996272,10769768355,11512882201,12188158880,12592937351,13512221776,13958125094,14781654475,16200693305,18339184821,20906670696,23101871119,26313031204,29786351323,33867081455,36203910075,31099158754,31783340247,33277157238,35673112560,36850325274,38176936984,39398598967,39477396165,42438200878,44644987324,48038006360,44579269902,47164867557,53107640869,57728005624
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,1329354689,1358292521,1374028894,1446581301,1543153922,1475882099,1573362138,1659443845,1737955934,1802394274,1914205653,1827146277,1845915180,1958089526,2071007369,2205082671,2485304853,2716819214,2716438684,2391472046,2203970353,2160800705,2233680953,2220262885,2269362944,2302158763,2396541874,2455576690,2626317507,2707745041,2196511968,2376444044,2602595861,2703108431
Australia,AUS,6.10149E+11,6.07819E+11,6.10418E+11,6.3511E+11,6.60386E+11,6.8603E+11,7.12538E+11,7.4042E+11,7.74948E+11,8.1391E+11,8.45827E+11,8.62957E+11,8.97299E+11,9.25032E+11,9.64108E+11,9.94517E+11,1.02192E+12,1.06048E+12,1.09851E+12,1.1193E+12,1.14422E+12,1.17179E+12,1.2177E+12,1.24944E+12,1.28202E+12,1.31024E+12,1.34666E+12,1.37788E+12,1.41793E+12,1.44886E+12,1.44401E+12,1.4745E+12,1.53745E+12,1.58383E+12
Austria,AUT,3.3925E+11,3.50926E+11,3.58273E+11,3.6016E+11,3.68812E+11,3.78652E+11,3.87548E+11,3.95662E+11,4.09832E+11,4.24407E+11,4.38734E+11,4.44294E+11,4.51631E+11,4.55883E+11,4.68352E+11,4.78862E+11,4.95402E+11,5.13868E+11,5.21373E+11,5.01745E+11,5.10963E+11,5.25897E+11,5.29476E+11,5.29611E+11,5.33113E+11,5.38521E+11,5.49235E+11,5.6164E+11,5.75262E+11,5.83606E+11,5.44895E+11,5.67987E+11,5.95287E+11,5.90354E+11
Azerbaijan,AZE,76150158412,75617107169,58527640702,45007756450,36141227871,31876563305,32290958438,34163834075,37580217350,40361153922,44841241662,49280524526,53932071973,59437619353,64937858841,83095482987,1.11763E+11,1.39704E+11,1.54735E+11,1.6912E+11,1.77659E+11,1.77836E+11,1.81687E+11,1.92242E+11,1.9753E+11,1.99691E+11,1.93501E+11,1.93888E+11,1.96796E+11,2.01716E+11,1.93042E+11,2.03884E+11,2.13497E+11,2.15896E+11
Burundi,BDI,7799958297,8189709457,8272425389,7756226044,7459162587,6868396910,6318925157,6218454247,6513830824,6448041133,6392790186,6524213621,6814314046,6730925380,7056275277,7119781755,7505233008,7764309791,8141788511,8452214175,8885319153,9243628532,9654665547,10130079613,10559660855,10147834074,10086946977,10137381839,10300587140,10487292011,10521601909,10847771569,11048346804,11346652234
