Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,2.517766497,2.510121457,2.47702407,2.794028849,3.59922179,4.100963775,4.277072978,4.425833642,4.777505083,5.622020209,6.18729481,6.565660336,6.666022669,6.670840363,4.205989994,2.86046778,4.206093989,1.991637655,3.262643075,3.439352185,3.585278991,3.689024693,3.733753799,3.225018203,2.562433372,,,,
Africa Eastern and Southern,AFE,16.96576613,16.14623902,17.76716799,16.6909821,16.75661544,16.8255105,16.08741199,15.73657584,15.47388559,14.79643137,14.62057017,14.72900578,14.11843553,14.48735868,14.41637557,13.58225349,12.24260884,11.89706232,11.20313002,11.74918189,11.35518277,10.77396199,10.58009158,10.18084198,10.0215254,10.32129334,10.67222583,10.70109231,10.82900721,10.72996542,10.35306264,10.27899513,10.39601139,9.885073628
Afghanistan,AFG,,,,,,,,,,,,,18.82275218,16.92386623,17.55400626,16.59821222,16.3855372,17.74730953,17.8391163,13.14987661,12.52257684,13.77918924,12.48608514,11.49986726,11.47758756,11.420006,4.114196613,3.530422461,6.160177217,7.043181081,7.528114629,8.493156816,10.19026196,
Africa Western and Central,AFW,14.82027167,15.63824287,14.29606147,15.48754864,18.38619447,18.87283655,18.14035293,18.60270032,17.24720548,13.53604816,12.52101769,12.50459555,11.52437822,11.57601862,10.78903304,10.46159927,9.671762966,9.545427457,9.429605806,9.257966923,8.115733477,8.714818282,8.684453373,9.972192757,10.40623984,10.16346497,9.856826035,9.952677248,10.43222233,11.38369864,11.88078375,13.1366168,12.72600118,13.20488945
Angola,AGO,,,,,,3.646280794,3.445749994,4.378391184,6.259370843,3.222875779,2.890163321,3.873100814,3.661825665,3.999814529,4.681938309,3.912883549,3.612815774,3.39949164,3.461736807,5.109421549,4.541774035,4.167804733,4.403289533,4.827342652,4.763071572,5.685144803,6.752680742,6.580549657,6.059469233,6.137446984,7.063042725,6.540512976,7.449350947,8.005340476
Albania,ALB,,,,,,,4.857952081,4.583428909,4.723942959,4.532522983,4.317845806,4.09904002,4.066542833,4.124160074,4.177557018,4.425844014,4.904925321,5.296790979,4.997797675,5.197580984,5.452125407,5.661897674,4.614457714,5.059801356,5.325788985,5.671519417,5.684427418,6.158166884,6.13329356,6.256195102,6.156036162,6.155171233,6.536652879,5.899857034
Andorra,AND,,,,,,,,,,,3.830854431,3.451746698,3.43814817,3.615787889,3.655047886,3.476748213,3.435046622,3.398816388,3.576934384,3.612316813,3.699789802,3.660604015,3.723835042,3.838156155,3.676873663,3.706089854,3.74112486,3.748832726,3.610284486,3.673689514,3.733569332,4.06261117,3.575989783,
Arab World,ARB,9.667573623,11.08189788,11.22320247,11.15336267,11.41416672,12.28074786,12.6556338,12.79028136,13.20329125,12.80178269,12.95322054,11.30102716,11.58884614,11.47597963,10.76942142,9.895553969,9.386643967,9.19025907,8.742607345,9.867179827,9.778459423,9.348185343,9.294988801,9.357555898,9.881042209,10.68207304,10.88974197,10.62222064,10.31661399,10.26069085,11.03155642,11.31456492,11.75110701,11.35408999
United Arab Emirates,ARE,7.493888516,7.423063916,7.583671501,7.843780607,6.587692746,6.772462657,6.637292654,7.895500625,8.631087315,8.557489537,9.072000292,13.31375919,13.06347632,12.26246108,11.51238292,10.60803974,9.656954628,9.025577573,8.600265388,9.195377117,8.475421755,8.14829316,8.085036374,7.925744268,8.115294535,9.175893354,9.327460912,9.381380823,8.925789792,8.867353109,10.29178004,10.0017515,9.725953227,
Argentina,ARG,26.78970455,24.38644909,21.85913156,18.23991153,17.81909171,17.24675211,17.53572329,18.22790575,17.83795848,16.96152506,16.49427194,16.09322588,20.34777391,22.48675059,18.93701362,18.34041594,17.87779386,17.04741545,16.5383661,15.58377727,15.84486081,15.85069839,15.21680091,15.01105426,14.77277855,14.18158545,13.48802597,12.83516834,14.0601434,13.54083907,14.59052951,15.77343813,16.05333198,16.29523576
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,9.424758532,9.68257532,9.666405536,9.206171059,10.28464998,10.63112611,11.27191844,11.71149186,12.3449098,11.03159056,11.3052825,11.11309065
American Samoa,ASM,,,,,,,,,,,,,21.2890625,20.61068702,15.52062868,13.6,13.59026369,14.86486486,20,24.14814815,7.155322862,3.684210526,13.90625,14.57680251,11.97511664,13.96731055,13.71087928,10.94771242,13.92801252,12.36476043,15.11789182,8.666666667,,
Antigua and Barbuda,ATG,2.496769751,2.247306537,2.036987403,1.803943138,1.674527743,1.684062432,1.596858639,1.605761375,1.624491174,1.64414045,1.600253343,1.704308042,1.776397464,1.866004032,1.811823048,1.749982999,1.768108695,1.631093879,1.536848213,2.013944542,2.094548525,2.911310812,2.596289898,2.733712433,2.76939111,2.801176731,2.875562197,2.966781242,3.008383618,3.013663343,2.912985837,2.776332253,2.584039279,2.500305137
Australia,AUS,13.78890275,12.56690608,12.57846628,12.87287184,13.20500374,13.11455573,12.7342056,12.29446795,12.46215464,11.93537545,11.55273936,10.97636139,10.54404412,10.85408189,10.8735327,10.32522838,9.880800532,9.27923469,9.193907576,8.447244065,7.988003505,7.365165922,7.046797419,6.6049192,6.364900809,6.29537284,6.083055645,5.799890643,5.773455323,5.595366664,5.620080238,5.519553105,5.392845341,5.388743212
Austria,AUT,19.58111475,19.17173885,18.47963499,17.46020695,17.35652011,17.90587952,17.63220929,17.80353465,17.726769,17.89093266,18.21496707,18.34109299,17.72678281,17.45317461,17.33646035,17.40781847,17.82343621,18.15364762,17.41746573,16.36199564,16.47850074,16.59560906,16.70612337,16.49572937,16.56001525,16.69003646,17.04741463,16.84270767,16.82875171,16.59180315,16.1746066,16.92481978,15.90850486,15.66095118
Azerbaijan,AZE,17.63301501,16.65419162,21.87713948,17.90286624,12.66474513,11.53341457,10.42962746,8.393756135,8.324129512,6.042224047,5.292384646,6.187448265,7.430927835,8.636395438,8.283510351,6.48752246,5.772903308,4.98404471,4.705609759,5.525890763,4.737784057,3.988326101,4.241218624,4.215736826,4.707010697,4.990621552,4.892660678,4.699464584,4.619812216,5.003650963,6.101565073,6.419092907,5.283389825,5.778440801
Burundi,BDI,11.81980421,12.70795383,8.599290936,8.424747763,9.351748292,8.25845974,6.271379704,9.744337923,10.30614795,11.30813911,10.90123278,10.92481796,11.0867341,11.04303804,11.45083317,11.8850166,10.3672036,11.10936178,9.622533997,9.490401363,9.245838979,9.318993014,8.830567739,9.54581996,10.12420983,8.676553788,9.36171645,,,,,,,
Belgium,BEL,,,,,,18.3362939,18.16805585,18.39943062,18.15923392,17.30709231,17.53597445,17.04054213,16.79458705,16.20023741,16.08993608,15.87094598,15.01853751,15.06031828,13.99274072,12.91804147,13.33859852,12.92905935,12.62420868,12.56263999,12.56468619,12.69333388,12.35694408,12.42911753,12.17367734,12.34546443,12.26268915,12.04388369,12.64326378,11.87558246
Benin,BEN,7.376006869,7.160406202,7.941468232,7.426247821,8.05454443,8.077371806,8.275149107,8.468579033,7.987113987,13.16999002,13.98385772,15.63826572,15.64299615,15.74663839,14.80842935,15.67081858,15.43835004,13.7419113,12.24997876,12.21912052,11.73988533,11.73357014,10.71215569,10.9217699,10.38662818,10.03567008,9.93126564,9.62006825,9.162461995,9.86572844,9.687913103,9.479767827,9.823208667,10.06232409
Burkina Faso,BFA,14.74901604,13.37681884,14.4729992,14.22732497,13.44792003,14.12076303,13.36918434,14.35668427,13.80052706,16.18659107,15.35693878,14.94120267,14.85118409,15.5877483,15.14056675,13.34076102,14.04397353,14.33772427,13.01313874,13.54798244,12.13998855,11.61215726,10.34232902,10.16977155,10.99604254,11.66029645,11.12043816,10.25920309,10.52520365,10.41059839,10.03131853,9.971703502,10.93134557,10.69070484
Bangladesh,BGD,13.23921855,13.98712269,14.39746369,15.41253836,15.86945466,15.90000685,14.00264514,14.11978066,14.85983116,14.38909508,14.03531575,14.17835702,14.31743755,14.14546156,14.44207319,14.74399876,15.30756218,15.93407299,16.12436697,16.48018606,16.12122836,15.99673425,15.91422067,16.44201947,16.61270766,16.78867356,20.3479481,20.07506151,20.80229593,21.20794388,20.59833159,21.23567299,21.76481936,22.34201887
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,14.70734403,13.93819975,12.24729591,13.50104197,14.14742353,16.75614313,,,,,,,,,,,13.24673495,14.4669591,15.09656264,13.98170618,14.48223504,15.04759704,14.85814419,14.81727591,14.92809337,17.342942,18.09435059,18.53161843,17.61996753,17.62160932,18.29431052,20.54475128,21.4416567,19.83412824
"Bahamas, The",BHS,3.804106128,4.800781702,4.359440335,4.262807245,4.110647438,3.532691747,4.27179274,2.346676437,1.996130668,2.734299253,2.887400065,2.21211542,2.525570984,2.412602352,2.686827258,2.391167321,2.521822518,2.295085673,2.098612958,2.092775367,2.127625855,2.191560457,2.945758127,2.625098598,2.68997002,2.518013348,3.11278746,2.649407111,2.20834192,2.130422089,2.056596574,1.767981071,1.07335343,1.007776267
Bosnia and Herzegovina,BIH,,,,,11.50560362,11.43649852,11.43649964,11.22184186,12.06927902,10.7000739,9.296022749,9.406456129,9.313522924,9.299795234,9.117742539,9.942766707,10.01778722,10.81107321,11.0122791,10.47754043,10.88480804,10.91601273,10.54511041,10.93711679,10.9401954,11.11779147,11.81382652,12.56398233,12.7319524,12.48001425,12.66183933,13.98630115,14.37138391,13.04978916
Belarus,BLR,38.17090069,44.44444444,39.13043478,28.12182741,27.01624234,27.97624441,29.55811905,30.39936755,29.47700029,28.19639637,27.04350873,26.5995854,25.96840651,26.65350282,28.55028225,25.3421468,24.99981077,24.90693694,26.18436746,22.45739183,22.51008707,26.42223633,24.78302798,21.99575511,21.08738009,20.64397731,20.151871,21.62877785,21.25817528,21.63999644,21.4866318,22.75849592,23.99409521,23.00917676
Belize,BLZ,11.51717024,10.48941234,10.30808358,9.876595101,9.86854965,9.872604168,10.15161725,9.869029278,10.35315097,9.938464534,10.43123191,8.954987608,8.488360314,7.994880748,7.979595463,7.946778206,7.847299622,7.655980563,7.454506974,7.811724832,7.351197871,7.021884371,7.520795799,7.419556355,7.099980138,7.296445035,7.146338326,6.974006095,6.518417967,6.493953464,7.056539639,6.825397508,6.66636359,
Bermuda,BMU,,,,,,,,,,,,2.108038537,2.135436403,1.709412938,1.742233544,1.647653229,,,,,0.855449206,0.703756924,0.597959797,0.51712437,0.480075734,0.514175208,0.431063531,0.463659127,0.487269749,0.516039343,0.336380217,0.347157463,0.357525185,
Bolivia,BOL,16.96302628,17.73056686,17.14141034,16.87257566,16.6578935,16.72941711,16.42552525,14.52022558,13.99206426,13.5941304,13.24110584,13.34477192,13.03542179,12.78444761,12.50745462,11.62694489,11.33160286,11.41491615,11.16847386,11.61672571,11.27002247,10.33846377,10.21420878,9.927811227,9.738327963,10.19119085,10.98422154,10.49350844,10.3431515,10.48950354,10.95783365,10.72684987,10.28506192,
Brazil,BRA,22.82812988,21.83906711,23.30859643,26.04973648,23.7212337,14.54227915,13.06719124,13.01862538,12.1551372,12.30853333,13.13465959,13.08953794,12.35696267,14.45076456,15.09953016,14.73828114,14.10894587,14.1542648,13.9551769,13.05946215,12.72185961,11.78379767,10.67594231,10.47961229,10.3370974,10.52093746,10.78645112,10.72149801,10.52845738,10.33250053,10.69293157,11.90437301,13.07408163,13.33187799
