country,dn
Afghanistan,26380
Albania,62930
Algeria,1674854
American Samoa,2868
Andorra,14447
Angola,47138
Anguilla,1743
Antarctica,572
Antigua and Barbuda,6032
Argentina,2340568
Armenia,29587
Aruba,8253
Australia,1941129
Austria,951861
Azerbaijan,315786
Azores,21469
Bahamas,28513
Bahrain,33946
Bangladesh,386872
Barbados,14109
Belarus,769039
Belgium,1660881
Belize,18292
Benin,18735
Bermuda,1116
Bhutan,2631
Bolivia,186424
Bonaire,1846
Bosnia and Herzegovina,99945
Botswana,41052
Brazil,6609982
British Indian Ocean Territory,1210
British Virgin Islands,2332
Brunei Darussalam,41766
Bulgaria,665416
Burkina Faso,18637
Burundi,5322
Cabo Verde,5485
Cambodia,8542
Cameroon,41827
Canada,16681969
Canarias,137029
Cayman Islands,4492
Central African Republic,5529
Chad,6685
Chile,533619
China,14152222
Christmas Island,474
Cocos Islands,20
Colombia,1260070
Comoros,1388
Congo,23206
Congo DRC,72029
Cook Islands,653
Costa Rica,177092
Croatia,395129
Cuba,206312
Curacao,13872
Cyprus,118109
Czech Republic,1622433
Côte d'Ivoire,100978
Denmark,1091976
Djibouti,3189
Dominica,1946
Dominican Republic,166946
Ecuador,422470
Egypt,1883038
El Salvador,106261
Equatorial Guinea,8577
Eritrea,6802
Estonia,247885
Eswatini,26731
Ethiopia,41944
Falkland Islands,3694
Faroe Islands,21057
Fiji,16827
Finland,4176381
France,8172672
French Guiana,11649
French Polynesia,7565
French Southern Territories,5419
Gabon,70044
Gambia,3724
Georgia,62260
Germany,8230128
Ghana,149422
Gibraltar,514
Greece,905037
Greenland,6888
Grenada,2480
Guadeloupe,30779
Guam,22672
Guatemala,134214
Guernsey,5333
Guinea,12288
Guinea-Bissau,2212
Guyana,15969
Haiti,13857
Honduras,102485
Hungary,1015708
Iceland,132863
India,11894721
Indonesia,1816343
Iran,4312484
Iraq,1106842
Ireland,604852
Isle of Man,11186
Israel,487821
Italy,6617223
Jamaica,118503
Japan,7320235
Jersey,5397
Jordan,241330
Kazakhstan,1708836
Kenya,92368
Kiribati,108
Kuwait,332240
Kyrgyzstan,195709
Laos,16720
Latvia,188363
Lebanon,163303
Lesotho,11681
Liberia,1167
Libya,952537
Liechtenstein,5239
Lithuania,230526
Luxembourg,89151
Madagascar,17958
Madeira,19520
Malawi,35878
Malaysia,659368
Maldives,112
Mali,19366
Malta,19903
Marshall Islands,114
Martinique,27584
Mauritania,14863
Mauritius,30883
Mayotte,1655
Mexico,5185423
Micronesia,2034
Moldova,258204
Monaco,856
Mongolia,50719
Montenegro,30491
Montserrat,780
Morocco,430317
Mozambique,39060
Myanmar,113154
Namibia,54654
Nauru,491
Nepal,48737
Netherlands,1759814
New Caledonia,12594
New Zealand,365097
Nicaragua,66398
Niger,22675
Nigeria,1336088
Niue,92
Norfolk Island,327
North Korea,47553
North Macedonia,120687
Northern Mariana Islands,6110
Norway,2873520
Oman,461358
Pakistan,2743263
Palau,895
Palestinian Territory,157862
Panama,86372
Papua New Guinea,33581
Paraguay,183791
Peru,427301
Philippines,388178
Poland,4051270
Portugal,962734
Puerto Rico,358374
Qatar,164342
Romania,1116575
Russian Federation,28025728
Rwanda,5960
Réunion,29738
Saba,102
Saint Barthelemy,591
Saint Eustatius,339
Saint Helena,216
Saint Kitts and Nevis,3116
Saint Lucia,7421
Saint Martin,2758
Saint Pierre and Miquelon,1696
Saint Vincent and the Grenadines,2603
Samoa,1686
San Marino,4139
Sao Tome and Principe,1092
Saudi Arabia,3031710
Senegal,36073
Serbia,595509
Seychelles,3173
Sierra Leone,3021
Singapore,39934
Sint Maarten,2764
Slovakia,844801
Slovenia,237204
Solomon Islands,897
Somalia,3797
South Africa,1940499
South Georgia and South Sandwich Islands,6438
South Korea,2224930
South Sudan,1001
Spain,4696317
Sri Lanka,248103
Sudan,154765
Suriname,19512
Sweden,5414868
Switzerland,779831
Syria,978894
Tajikistan,211228
Tanzania,69662
Thailand,1406555
Timor-Leste,3342
Togo,17608
Tonga,2723
Trinidad and Tobago,71217
Tunisia,431547
Turkiye,2272646
Turkmenistan,341213
Turks and Caicos Islands,517
US Virgin Islands,13958
Uganda,27639
Ukraine,4273775
United Arab Emirates,598155
United Kingdom,6825298
United States,66055036
United States Minor Outlying Islands,217
Uruguay,179629
Uzbekistan,1372566
Vanuatu,5925
Venezuela,1674227
Vietnam,299829
Wallis and Futuna,322
Yemen,197952
Zambia,94032
Zimbabwe,157724
