country,SPI,grade
Afghanistan,48.73108333333333,C
Albania,73.90408333333333,B
Algeria,52.64841666666668,C
American Samoa,,F
Andorra,,F
Angola,53.55591666666667,C
Antigua and Barbuda,43.81208333333333,C
Argentina,69.01275,B
Armenia,81.46866666666668,A
Aruba,,F
Australia,86.96275,A
Austria,87.12716666666668,A
Azerbaijan,63.401666666666664,B
"Bahamas, The",40.451750000000004,C
Bahrain,48.71008333333334,C
Bangladesh,58.994666666666674,C
Barbados,,F
Belarus,74.61383333333335,B
Belgium,79.90108333333333,B
Belize,53.8745,C
Benin,51.6745,C
Bermuda,,F
Bhutan,52.430250000000015,C
Bolivia,61.45516666666667,B
Bosnia and Herzegovina,59.01475000000001,C
Botswana,55.287166666666664,C
Brazil,76.913,B
British Virgin Islands,,F
Brunei Darussalam,57.19333333333334,C
Bulgaria,79.89591666666668,B
Burkina Faso,52.86925,C
Burundi,51.87616666666666,C
Cabo Verde,54.98316666666667,C
Cambodia,53.558416666666666,C
Cameroon,55.312333333333335,C
Canada,86.84033333333333,A
Cayman Islands,,F
Central African Republic,,F
Chad,35.17066666666666,D
Channel Islands,,F
Chile,80.03733333333334,A
China,56.70516666666666,C
Colombia,73.80233333333334,B
Comoros,,F
"Congo, Dem. Rep.",40.08947916666667,C
"Congo, Rep.",38.382333333333335,D
Costa Rica,78.54925,B
Cote d'Ivoire,56.185500000000005,C
Croatia,68.9565,B
Cuba,,F
Curacao,,F
Cyprus,74.7245,B
Czechia,84.39650000000002,A
Denmark,85.57241666666667,A
Djibouti,33.83508333333334,D
Dominica,38.21291666666667,D
Dominican Republic,63.696416666666664,B
Ecuador,72.86224999999999,B
"Egypt, Arab Rep.",75.65933333333332,B
El Salvador,68.05850000000001,B
Equatorial Guinea,37.94708333333334,D
Eritrea,,F
Estonia,84.0995,A
Eswatini,51.033,C
Ethiopia,52.47066666666667,C
Faroe Islands,,F
Fiji,57.59975000000001,C
Finland,88.87858333333334,A
France,86.46783333333333,A
French Polynesia,,F
Gabon,28.583833333333338,D
"Gambia, The",52.492000000000004,C
Georgia,80.86091666666667,A
Germany,86.71008333333334,A
Ghana,62.499,B
Gibraltar,,F
Greece,84.43558333333333,A
Greenland,,F
Grenada,,F
Guam,,F
Guatemala,62.749416666666676,B
Guinea,45.229416666666665,C
Guinea-Bissau,37.480916666666666,D
Guyana,44.480666666666664,C
Haiti,38.20516666666667,D
Honduras,58.875,C
"Hong Kong SAR, China",,F
Hungary,84.90258333333334,A
Iceland,76.35816666666668,B
India,67.46183333333333,B
Indonesia,71.73025,B
"Iran, Islamic Rep.",53.12258333333333,C
Iraq,38.693000000000005,D
Ireland,85.59191666666666,A
Isle of Man,,F
Israel,80.83641666666668,A
Italy,88.55166666666666,A
Jamaica,53.239250000000006,C
Japan,83.48666666666666,A
Jordan,58.64850000000001,C
Kazakhstan,75.49391666666666,B
Kenya,56.73958333333333,C
Kiribati,31.17333333333334,D
"Korea, Dem. People's Rep.",,F
"Korea, Rep.",82.12041666666667,A
Kosovo,,F
Kuwait,53.980916666666666,C
Kyrgyz Republic,79.73816666666667,B
Lao PDR,49.608000000000004,C
Latvia,83.86983333333333,A
Lebanon,44.07091666666667,C
Lesotho,52.82233333333335,C
Liberia,50.981500000000004,C
Libya,23.676083333333338,D
Liechtenstein,,F
Lithuania,82.47175,A
Luxembourg,77.17349999999999,B
"Macao SAR, China",,F
Madagascar,47.616416666666666,C
Malawi,57.51541666666667,C
Malaysia,66.79158333333334,B
Maldives,53.44575,C
Mali,52.96066666666667,C
Malta,73.86116666666666,B
Marshall Islands,22.348000000000003,D
Mauritania,46.83883333333333,C
Mauritius,73.39883333333333,B
Mexico,85.06683333333334,A
"Micronesia, Fed. Sts.",28.780583333333333,D
Moldova,76.33108333333334,B
Monaco,,F
Mongolia,75.44075,B
Montenegro,63.49208333333333,B
Morocco,66.41558333333333,B
Mozambique,55.48791666666667,C
Myanmar,57.14791666666666,C
Namibia,51.76808333333334,C
Nauru,,F
Nepal,52.14466666666667,C
Netherlands,85.08458333333333,A
New Caledonia,,F
New Zealand,82.63808333333334,A
Nicaragua,49.29441666666667,C
Niger,55.04841666666666,C
Nigeria,55.55516666666667,C
North Macedonia,69.97458333333334,B
Northern Mariana Islands,,F
Norway,85.43258333333333,A
Oman,49.23458333333333,C
Pakistan,60.439083333333336,B
Palau,49.63041666666667,C
Panama,57.33475000000001,C
Papua New Guinea,36.978750000000005,D
Paraguay,61.489333333333335,B
Peru,66.70883333333333,B
Philippines,75.63216666666668,B
Poland,86.30091666666667,A
Portugal,86.23733333333334,A
Puerto Rico,,F
Qatar,50.16375000000001,C
Romania,78.565,B
Russian Federation,76.17183333333334,B
Rwanda,63.285833333333336,B
Samoa,56.85758333333333,C
San Marino,,F
Sao Tome and Principe,47.14191666666667,C
Saudi Arabia,52.419916666666666,C
Senegal,62.69500000000001,B
Serbia,75.02233333333334,B
Seychelles,56.161145833333336,C
Sierra Leone,50.76525,C
Singapore,74.16983333333334,B
Sint Maarten (Dutch part),,F
Slovak Republic,85.02275,A
Slovenia,88.38050000000001,A
